	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	mean_r_chromaticity	max_r_chromaticity	min_r_chromaticity	mean_ct_chromaticity	max_ct_chromaticity	min_ct_chromaticity	mean_nct_chromaticity	max_nct_chromaticity	min_nct_chromaticity	mean_pcs_chromaticity	max_pcs_chromaticity	min_pcs_chromaticity	mean_ct_diatonicity	max_ct_diatonicity	min_ct_diatonicity	mean_nct_diatonicity	max_nct_diatonicity	min_nct_diatonicity	mean_pcs_diatonicity	max_pcs_diatonicity	min_pcs_diatonicity	root_fifths_range	ct_fifths_range	nct_fifths_range	scaled_r_chromaticity	scaled_ct_chromaticity	scaled_nct_chromaticity	corpus_id	piece_id
50	frescobaldi_fiori_musicali	12.16_Toccata_cromaticha_per_l’elevatione	1635.0	1635.0	a	i	5	-4	5	-6	5	-4	0.1507537688442211	3	0	2.2	5	0	1.5	3	0	2.5	5	0	1.0	2	0	0.0	0	0	1.6666666666666667	3	0	9	11	9	0.06868662840831376	0.14498567335243553	0.041666666666666664	5	51
51	frescobaldi_fiori_musicali	12.17_Canzon_post_il_Comune	1635.0	1635.0	C	I	6	-2	8	-2	6	-2	0.051643192488262914	1	0	1.5	3	0	0.5	1	0	1.5	3	0	0.0	0	0	0.0	0	0	1.0	2	0	8	10	8	0.02352973858932689	0.0988538681948424	0.013888888888888888	5	52
52	frescobaldi_fiori_musicali	12.18_Toccata_avanti_la_Messa_delli_Apostoli	1635.0	1635.0	d	i	5	-4	5	-5	5	-4	0.16216216216216217	3	0	1.5	3	0	2.0	4	0	2.0	4	0	0.0	0	0	1.5	3	0	1.6666666666666667	3	0	9	10	9	0.07388453542299697	0.0988538681948424	0.05555555555555555	5	53
53	frescobaldi_fiori_musicali	12.19_Kyrie,_Tema_E_1	1635.0	1635.0	d	i	6	-3	6	-11	6	-4	0.3695652173913043	4	0	3.0	7	0	1.75	4	0	2.5	5	0	2.0	4	0	0.0	0	0	0.0	0	0	9	17	10	0.16838178543864163	0.1977077363896848	0.04861111111111111	5	54
54	frescobaldi_fiori_musicali	12.20_Kyrie,_Tema_E_2	1635.0	1635.0	d	i	6	-3	6	-3	6	-4	0.5714285714285714	4	0	2.2	5	0	2.0	4	0	2.5	5	0	0.0	0	0	0.0	0	0	0.0	0	0	9	9	10	0.2603550295857988	0.14498567335243553	0.05555555555555555	5	55
55	frescobaldi_fiori_musicali	12.21_Kyrie,_Tema_E_3	1635.0	1635.0	d	i	6	-3	6	-4	6	-3	0.26666666666666666	4	0	2.2	5	0	2.0	4	0	2.5	5	0	0.0	0	0	1.0	2	0	1.0	2	0	9	10	9	0.12149901380670612	0.14498567335243553	0.05555555555555555	5	56
56	frescobaldi_fiori_musicali	12.22_Christe,_Tema_F_1	1635.0	1635.0	d	i	5	-4	4	-4	3	-4	0.06976744186046512	3	0	1.0	2	0	0.5	1	0	1.0	2	0	0.0	0	0	0.0	0	0	0.0	0	0	9	8	7	0.031787532681987064	0.0659025787965616	0.013888888888888888	5	57
57	frescobaldi_fiori_musicali	12.24_Kyrie,_Tema_G_1	1635.0	1635.0	d	i	6	-4	5	-4	6	-3	0.09803921568627451	4	0	1.5	3	0	1.6666666666666667	4	0	2.2	5	0	0.0	0	0	0.0	0	0	0.0	0	0	10	9	9	0.044668755075994895	0.0988538681948424	0.0462962962962963	5	58
58	frescobaldi_fiori_musicali	12.25_Kyrie,_Tema_G_2	1635.0	1635.0	d	i	6	-4	6	-4	6	-4	0.07692307692307693	4	0	2.2	5	0	2.0	4	0	2.5	5	0	0.0	0	0	0.0	0	0	1.0	2	0	10	10	10	0.03504779244424215	0.14498567335243553	0.05555555555555555	5	59
59	frescobaldi_fiori_musicali	12.26_Kyrie,_Tema_H	1635.0	1635.0	d	i	5	-3	5	-4	5	-3	0.14285714285714285	3	0	1.5	3	0	1.5	3	0	2.5	5	0	0.0	0	0	0.5	1	0	1.0	2	0	8	9	8	0.0650887573964497	0.0988538681948424	0.041666666666666664	5	60
