	corpus	piece	corpus_year	piece_year	period	period_Johannes	globalkey	localkey	chord_num	total_WLD	piece_avg_WLD	corpus_id	piece_id
1067	tchaikovsky_seasons	op37a12	1876.0	1876	Late Romantic	Extended tonality	Ab	I	260	3554.0	13.669230769230769	29	1055
1068	dvorak_silhouettes	op08n01	1879.0	1879	Late Romantic	Extended tonality	c#	i	75	1037.0	13.826666666666666	30	1056
1069	dvorak_silhouettes	op08n02	1879.0	1879	Late Romantic	Extended tonality	Db	I	67	754.0	11.253731343283581	30	1057
1070	dvorak_silhouettes	op08n03	1879.0	1879	Late Romantic	Extended tonality	Db	I	238	2600.0	10.92436974789916	30	1058
1071	dvorak_silhouettes	op08n04	1879.0	1879	Late Romantic	Extended tonality	f#	i	133	1176.0	8.842105263157896	30	1059
1072	dvorak_silhouettes	op08n05	1879.0	1879	Late Romantic	Extended tonality	f#	i	138	1157.0	8.384057971014492	30	1060
1073	dvorak_silhouettes	op08n06	1879.0	1879	Late Romantic	Extended tonality	Bb	I	113	1812.0	16.035398230088497	30	1061
1074	dvorak_silhouettes	op08n07	1879.0	1879	Late Romantic	Extended tonality	D	I	167	1510.0	9.04191616766467	30	1062
1075	dvorak_silhouettes	op08n08	1879.0	1879	Late Romantic	Extended tonality	b	i	100	893.0	8.93	30	1063
1076	dvorak_silhouettes	op08n09	1879.0	1879	Late Romantic	Extended tonality	B	ii	97	1029.0	10.608247422680412	30	1064
1077	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	Extended tonality	G	I	103	899.0	8.728155339805825	30	1065
1078	dvorak_silhouettes	op08n11	1879.0	1879	Late Romantic	Extended tonality	A	I	88	1205.0	13.693181818181818	30	1066
1079	dvorak_silhouettes	op08n12	1879.0	1879	Late Romantic	Extended tonality	c#	i	207	2150.0	10.38647342995169	30	1067
1080	grieg_lyric_pieces	op12n01	1890.3354624738975	1867	Early Romantic	Extended tonality	Eb	I	43	621.0	14.44186046511628	31	1068
1081	grieg_lyric_pieces	op12n02	1890.3354624738975	1867	Early Romantic	Extended tonality	a	i	125	1444.0	11.552	31	1069
1082	grieg_lyric_pieces	op12n03	1890.3354624738975	1867	Early Romantic	Extended tonality	E	I	103	1041.0	10.106796116504855	31	1070
1083	grieg_lyric_pieces	op12n04	1890.3354624738975	1867	Early Romantic	Extended tonality	e	i	95	854.0	8.989473684210527	31	1071
1084	grieg_lyric_pieces	op12n05	1890.3354624738975	1867	Early Romantic	Extended tonality	f#	i	107	1385.0	12.94392523364486	31	1072
1085	grieg_lyric_pieces	op12n06	1890.3354624738975	1867	Early Romantic	Extended tonality	D	I	121	1289.0	10.652892561983471	31	1073
1086	grieg_lyric_pieces	op12n07	1890.3354624738975	1867	Early Romantic	Extended tonality	e	i	72	796.0	11.055555555555555	31	1074
1087	grieg_lyric_pieces	op12n08	1890.3354624738975	1867	Early Romantic	Extended tonality	Eb	I	78	898.0	11.512820512820513	31	1075
1088	grieg_lyric_pieces	op38n08	1890.3354624738975	1878	Late Romantic	Extended tonality	bb	i	128	1803.0	14.0859375	31	1076
1089	grieg_lyric_pieces	op38n01	1890.3354624738975	1883	Late Romantic	Extended tonality	G	I	140	2024.0	14.457142857142857	31	1077
1090	grieg_lyric_pieces	op38n02	1890.3354624738975	1883	Late Romantic	Extended tonality	e	i	46	569.0	12.369565217391305	31	1078
1091	grieg_lyric_pieces	op38n03	1890.3354624738975	1883	Late Romantic	Extended tonality	C	I	87	1603.0	18.42528735632184	31	1079
1092	grieg_lyric_pieces	op38n04	1890.3354624738975	1883	Late Romantic	Extended tonality	g	i	63	622.0	9.873015873015873	31	1080
1093	grieg_lyric_pieces	op38n05	1890.3354624738975	1883	Late Romantic	Extended tonality	G	I	69	1020.0	14.782608695652174	31	1081
1094	grieg_lyric_pieces	op38n06	1890.3354624738975	1883	Late Romantic	Extended tonality	a	i	104	1152.0	11.076923076923077	31	1082
1095	grieg_lyric_pieces	op38n07	1890.3354624738975	1883	Late Romantic	Extended tonality	e	i	55	702.0	12.763636363636364	31	1083
1096	grieg_lyric_pieces	op43n01	1890.3354624738975	1886	Late Romantic	Extended tonality	A	I	102	1418.0	13.901960784313726	31	1084
1097	grieg_lyric_pieces	op43n02	1890.3354624738975	1886	Late Romantic	Extended tonality	b	i	97	1420.0	14.639175257731958	31	1085
1098	grieg_lyric_pieces	op43n03	1890.3354624738975	1886	Late Romantic	Extended tonality	F#	I	110	1312.0	11.927272727272728	31	1086
1099	grieg_lyric_pieces	op43n04	1890.3354624738975	1886	Late Romantic	Extended tonality	d	i	52	510.0	9.807692307692308	31	1087
1100	grieg_lyric_pieces	op43n05	1890.3354624738975	1886	Late Romantic	Extended tonality	F	I	109	1243.0	11.403669724770642	31	1088
1101	grieg_lyric_pieces	op43n06	1890.3354624738975	1886	Late Romantic	Extended tonality	F#	I	127	1338.0	10.535433070866143	31	1089
1102	grieg_lyric_pieces	op47n01	1890.3354624738975	1888	Late Romantic	Extended tonality	e	i	158	2095.0	13.259493670886076	31	1090
1103	grieg_lyric_pieces	op47n02	1890.3354624738975	1888	Late Romantic	Extended tonality	F	I	180	2605.0	14.472222222222221	31	1091
