	corpus	piece	corpus_year	piece_year	globalkey	localkey	piece_weighted_WLD	corpus_id	piece_id
183	corelli	op03n01c	1687.6864702945581	1689	F	I	0.23679417122040047	6	184
184	corelli	op03n01d	1687.6864702945581	1689	F	I	0.2562064156206419	6	185
185	corelli	op03n02a	1687.6864702945581	1689	D	I	0.24078947368421066	6	186
186	corelli	op03n02b	1687.6864702945581	1689	D	I	0.24919354838709679	6	187
187	corelli	op03n02c	1687.6864702945581	1689	b	i	0.24583333333333332	6	188
188	corelli	op03n02d	1687.6864702945581	1689	D	I	0.2790697674418604	6	189
189	corelli	op03n03a	1687.6864702945581	1689	Bb	I	0.27395833333333336	6	190
190	corelli	op03n03b	1687.6864702945581	1689	Bb	I	0.22291666666666668	6	191
191	corelli	op03n03c	1687.6864702945581	1689	Bb	I	0.2291666666666662	6	192
192	corelli	op03n03d	1687.6864702945581	1689	Bb	I	0.24185185185185218	6	193
193	corelli	op03n04a	1687.6864702945581	1689	b	i	0.23731884057970973	6	194
194	corelli	op03n04b	1687.6864702945581	1689	b	i	0.2666666666666661	6	195
195	corelli	op03n04c	1687.6864702945581	1689	b	i	0.25636363636363624	6	196
196	corelli	op03n04d	1687.6864702945581	1689	b	i	0.23616666666666677	6	197
197	corelli	op03n05a	1687.6864702945581	1689	d	i	0.26190476190476164	6	198
198	corelli	op03n05b	1687.6864702945581	1689	d	i	0.2397959183673473	6	199
199	corelli	op03n05c	1687.6864702945581	1689	d	i	0.26111111111111107	6	200
200	corelli	op03n05d	1687.6864702945581	1689	d	i	0.2704545454545455	6	201
201	corelli	op03n06a	1687.6864702945581	1689	G	I	0.23547979797979807	6	202
202	corelli	op03n06b	1687.6864702945581	1689	e	i	0.2732142857142855	6	203
203	corelli	op03n06c	1687.6864702945581	1689	G	I	0.24649122807017582	6	204
204	corelli	op03n06d	1687.6864702945581	1689	G	I	0.25121951219512223	6	205
205	corelli	op03n07a	1687.6864702945581	1689	e	i	0.2687500000000001	6	206
206	corelli	op03n07b	1687.6864702945581	1689	e	i	0.2683333333333333	6	207
207	corelli	op03n07c	1687.6864702945581	1689	e	i	0.27485380116959085	6	208
208	corelli	op03n07d	1687.6864702945581	1689	e	i	0.2460317460317458	6	209
209	corelli	op03n08a	1687.6864702945581	1689	C	I	0.23916666666666678	6	210
210	corelli	op03n08b	1687.6864702945581	1689	C	I	0.25405982905982855	6	211
211	corelli	op03n08c	1687.6864702945581	1689	a	i	0.26272401433691744	6	212
212	corelli	op03n08d	1687.6864702945581	1689	C	I	0.21499999999999986	6	213
213	corelli	op03n09a	1687.6864702945581	1689	f	i	0.2678030303030302	6	214
214	corelli	op03n09b	1687.6864702945581	1689	f	i	0.24970238095238054	6	215
215	corelli	op03n09c	1687.6864702945581	1689	f	i	0.2573099415204681	6	216
216	corelli	op03n09d	1687.6864702945581	1689	f	i	0.24464285714285666	6	217
217	corelli	op03n10a	1687.6864702945581	1689	a	i	0.2550595238095237	6	218
218	corelli	op03n10b	1687.6864702945581	1689	a	i	0.2507017543859653	6	219
219	corelli	op03n10c	1687.6864702945581	1689	a	i	0.28602150537634413	6	220
220	corelli	op03n10d	1687.6864702945581	1689	a	i	0.2789426523297492	6	221
221	corelli	op03n11a	1687.6864702945581	1689	g	i	0.2882352941176471	6	222
222	corelli	op03n11b	1687.6864702945581	1689	g	i	0.24508547008546963	6	223
223	corelli	op03n11c	1687.6864702945581	1689	g	i	0.2582375478927202	6	224
224	corelli	op03n11d	1687.6864702945581	1689	g	i	0.2562962962962963	6	225
225	corelli	op03n12a	1687.6864702945581	1689	A	I	0.21798245614035094	6	226
226	corelli	op03n12b	1687.6864702945581	1689	E	I	0.208130081300813	6	227
227	corelli	op03n12c	1687.6864702945581	1689	E	V	0.25462962962962965	6	228
228	corelli	op03n12d	1687.6864702945581	1689	A	I	0.22270114942528757	6	229
229	corelli	op03n12e	1687.6864702945581	1689	A	I	0.22833333333333347	6	230
230	corelli	op03n12f	1687.6864702945581	1689	A	I	0.24268018018017978	6	231
231	corelli	op03n12g	1687.6864702945581	1689	A	I	0.2415458937198062	6	232
232	corelli	op04n01a	1687.6864702945581	1694	C	I	0.2632352941176469	6	233
233	corelli	op04n01b	1687.6864702945581	1694	C	I	0.21978798586572454	6	234
234	corelli	op04n01c	1687.6864702945581	1694	a	i	0.2455128205128204	6	235
