	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period	globalkey	localkey	ILC	OLC	ILD
156	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	V	0.0	0.0	0.22666
157	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	i	0.75	0.0	0.012307692307692308
158	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	III	0.0	0.0	0.047058823529411764
159	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.04186046511627907
160	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.0	0.06363636363636364
161	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	v	0.75	0.0	0.014545454545454545
162	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	III	0.0	0.0	0.058823529411764705
163	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.023255813953488372
164	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	i	0.75	0.0	0.012307692307692308
165	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	iv	1.6666666666666667	0.0	0.10000000000000002
166	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	v	1.25	0.0	0.014545454545454545
167	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.037209302325581395
168	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.0	0.06363636363636364
169	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	v	1.0	0.0	0.04818181818181819
170	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	i	0.5714285714285714	0.047619047619047616	0.06846153846153846
171	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	v	0.3	0.0	0.03636363636363636
172	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	i	1.4	0.0	0.015384615384615385
173	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	v	0.7368421052631579	0.0	0.07515090909090909
174	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	i	0.4375	0.0625	0.07153846153846155
175	monteverdi_madrigals	5-05b	2	18	1609.1691322587767	1605	Renaissance	g	i	1.2	0.0	0.03571428571428571
176	monteverdi_madrigals	5-05b	2	18	1609.1691322587767	1605	Renaissance	g	III	0.0	0.07692307692307693	0.2
177	monteverdi_madrigals	5-05b	2	18	1609.1691322587767	1605	Renaissance	g	i	0.9411764705882353	0.23529411764705882	0.07470178571428572
178	monteverdi_madrigals	5-05b	2	18	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.225
