	corpus	piece	localkey_mode	corpus_year	piece_year	period	globalkey	r_ilc_olc	r_ilc_ild	corpus_id	piece_id
1733	scarlatti_sonatas	K048	major	1741.1259598104884	1742	Baroque	c	0.0	0.0	31	1106
1734	scarlatti_sonatas	K048	minor	1741.1259598104884	1742	Baroque	c	-0.21452099034178493	0.388867268109047	31	1106
1735	scarlatti_sonatas	K049	major	1741.1259598104884	1742	Baroque	C	0.050802211337772435	0.12759527684788038	31	1107
1736	scarlatti_sonatas	K049	minor	1741.1259598104884	1742	Baroque	C	-0.01013896910225989	0.5561084128761619	31	1107
1737	scarlatti_sonatas	K050	major	1741.1259598104884	1742	Baroque	f	-0.1042990040236777	0.20718007212854223	31	1108
1738	scarlatti_sonatas	K050	minor	1741.1259598104884	1742	Baroque	f	-0.21161436534638567	0.32556341009798395	31	1108
1739	scarlatti_sonatas	K051	major	1741.1259598104884	1742	Baroque	Eb	0.12502417367725902	0.08805326090947845	31	1109
1740	scarlatti_sonatas	K052	major	1741.1259598104884	1742	Baroque	d	-0.053153338918387576	0.19294750975955352	31	1110
1741	scarlatti_sonatas	K052	minor	1741.1259598104884	1742	Baroque	d	0.0006138731650643046	0.4050346172572718	31	1110
1742	scarlatti_sonatas	K053	major	1741.1259598104884	1742	Baroque	D	0.06639026905325987	0.1919698528015562	31	1111
1743	scarlatti_sonatas	K054	minor	1741.1259598104884	1742	Baroque	a	-0.1591234882104462	0.4005705320354087	31	1112
1744	scarlatti_sonatas	K055	major	1741.1259598104884	1742	Baroque	G	0.01919421989509247	0.16037798404258893	31	1113
1745	scarlatti_sonatas	K056	minor	1741.1259598104884	1742	Baroque	c	-0.15870978035802383	0.6102478113676794	31	1114
1746	scarlatti_sonatas	K057	major	1741.1259598104884	1742	Baroque	Bb	0.19793534674820754	0.3638081902280109	31	1115
1747	scarlatti_sonatas	K059	major	1741.1259598104884	1742	Baroque	F	-0.07656780688406094	-0.1430282284522335	31	1116
1748	scarlatti_sonatas	K059	minor	1741.1259598104884	1742	Baroque	F	0.0	0.6551384198826606	31	1116
1749	scarlatti_sonatas	K061	minor	1741.1259598104884	1742	Baroque	a	-0.16829359050672602	0.5739777995703597	31	1117
1750	scarlatti_sonatas	K062	major	1741.1259598104884	1742	Baroque	A	0.0	0.0	31	1118
1751	scarlatti_sonatas	K062	minor	1741.1259598104884	1742	Baroque	A	-0.3063807757574663	0.5892483689578224	31	1118
1752	scarlatti_sonatas	K063	major	1741.1259598104884	1742	Baroque	G	0.10772426850846871	-0.18984489098881452	31	1119
1753	scarlatti_sonatas	K063	minor	1741.1259598104884	1742	Baroque	G	0.0	0.9563724462673335	31	1119
1754	scarlatti_sonatas	K064	major	1741.1259598104884	1742	Baroque	d	-0.08084520834544433	0.0	31	1120
1755	scarlatti_sonatas	K064	minor	1741.1259598104884	1742	Baroque	d	-0.1018853416216987	0.5695479787571165	31	1120
1756	scarlatti_sonatas	K065	major	1741.1259598104884	1742	Baroque	A	-0.034452774055250227	0.3118934159720931	31	1121
1757	scarlatti_sonatas	K066	major	1741.1259598104884	1742	Baroque	Bb	-0.027591460855645178	0.1531817365414583	31	1122
1758	scarlatti_sonatas	K067	minor	1741.1259598104884	1742	Baroque	f#	-0.07176095496781257	-0.15820601426989112	31	1123
1759	scarlatti_sonatas	K068	major	1741.1259598104884	1742	Baroque	Eb	0.05424211196461666	0.18110328487846086	31	1124
1760	scarlatti_sonatas	K068	minor	1741.1259598104884	1742	Baroque	Eb	-0.21680616309423115	0.6136908357227281	31	1124
1761	scarlatti_sonatas	K069	major	1741.1259598104884	1742	Baroque	f	-0.058823529411764705	0.5423261445466405	31	1125
1762	scarlatti_sonatas	K069	minor	1741.1259598104884	1742	Baroque	f	-0.07800862307074206	0.47636823307379533	31	1125
1763	scarlatti_sonatas	K071	major	1741.1259598104884	1742	Baroque	G	0.37572844320818033	0.04639401959463414	31	1126
1764	scarlatti_sonatas	K072	major	1741.1259598104884	1742	Baroque	C	0.3989255615046192	0.10118681859803945	31	1127
1765	scarlatti_sonatas	K074	major	1741.1259598104884	1742	Baroque	A	0.0	0.40531807900280764	31	1128
1766	scarlatti_sonatas	K075	major	1741.1259598104884	1742	Baroque	G	-0.06790270006494248	0.5993463830880666	31	1129
1767	scarlatti_sonatas	K076	minor	1741.1259598104884	1742	Baroque	g	-0.18991356171653662	0.5051759917845439	31	1130
1768	scarlatti_sonatas	K087	minor	1741.1259598104884	1742	Baroque	b	-0.045924833112928345	0.5073120924085778	31	1131
1769	scarlatti_sonatas	K092	minor	1741.1259598104884	1742	Baroque	d	0.037510963015983036	0.4202986863694126	31	1132
1770	scarlatti_sonatas	K094	major	1741.1259598104884	1746	Baroque	F	0.22417017280899262	0.4649257954659676	31	1133
1771	scarlatti_sonatas	K094	minor	1741.1259598104884	1746	Baroque	F	0.3765963258413448	0.5044833651298786	31	1133
1772	scarlatti_sonatas	K095	major	1741.1259598104884	1746	Baroque	C	0.0	0.5580361026871455	31	1134
1773	scarlatti_sonatas	K096	major	1741.1259598104884	1746	Baroque	D	0.13131559947672541	0.3432734504302573	31	1135
1774	scarlatti_sonatas	K097	major	1741.1259598104884	1746	Baroque	g	0.4491567281627154	0.1554768183100124	31	1136
1775	scarlatti_sonatas	K097	minor	1741.1259598104884	1746	Baroque	g	0.007251877754877339	0.45881244311908637	31	1136
1776	scarlatti_sonatas	K098	major	1741.1259598104884	1749	Baroque	e	-0.10177444017013518	0.4400664764251369	31	1137
1777	scarlatti_sonatas	K098	minor	1741.1259598104884	1749	Baroque	e	-0.33879885794321746	0.3661502671305637	31	1137
1778	scarlatti_sonatas	K099	minor	1741.1259598104884	1749	Baroque	c	-0.1884164431810845	0.3407964782473268	31	1138
1779	scarlatti_sonatas	K100	major	1741.1259598104884	1749	Baroque	C	0.2124691165588823	0.5694126244762236	31	1139
1780	schubert_winterreise	n01	major	1828.0	1828	Early Romantic	d	0.0	0.52319362034553	32	1140
1781	schubert_winterreise	n01	minor	1828.0	1828	Early Romantic	d	0.2939723678960655	0.56633116972003	32	1140
1782	schubert_winterreise	n02	major	1828.0	1828	Early Romantic	a	-0.17541160386140586	0.6075347261385791	32	1141
1783	schubert_winterreise	n02	minor	1828.0	1828	Early Romantic	a	0.09015235805197434	0.529369848384259	32	1141
1784	schubert_winterreise	n03	major	1828.0	1828	Early Romantic	f	-0.05361656778226131	0.44863594981195637	32	1142
1785	schubert_winterreise	n03	minor	1828.0	1828	Early Romantic	f	-0.06372728622603877	0.3942463796866172	32	1142
1786	schubert_winterreise	n04	major	1828.0	1828	Early Romantic	c	0.0	0.49961470517110684	32	1143
1787	schubert_winterreise	n04	minor	1828.0	1828	Early Romantic	c	0.017399383378358176	0.5211909303092369	32	1143
1788	schubert_winterreise	n05	major	1828.0	1828	Early Romantic	E	0.24252401143702754	0.3106274338576706	32	1144
1789	schubert_winterreise	n05	minor	1828.0	1828	Early Romantic	E	0.0	0.38117546488382403	32	1144
1790	schubert_winterreise	n06	major	1828.0	1828	Early Romantic	f#	0.0	0.8333333333333333	32	1145
1791	schubert_winterreise	n06	minor	1828.0	1828	Early Romantic	f#	0.20039388783187437	0.9205353066934427	32	1145
1792	schubert_winterreise	n07	minor	1828.0	1828	Early Romantic	e	0.09677277726490421	0.3328322648863031	32	1146
1793	schubert_winterreise	n07	major	1828.0	1828	Early Romantic	e	0.0	0.6684497602521877	32	1146
1794	schubert_winterreise	n08	major	1828.0	1828	Early Romantic	g	0.3432494713086012	0.536838409038239	32	1147
1795	schubert_winterreise	n08	minor	1828.0	1828	Early Romantic	g	0.07430186149484541	0.4981552642443443	32	1147
1796	schubert_winterreise	n09	minor	1828.0	1828	Early Romantic	b	0.32617514055030067	0.5005114670199322	32	1148
1797	schubert_winterreise	n10	minor	1828.0	1828	Early Romantic	c	0.26260416420057564	0.6828518328150015	32	1149
1798	schubert_winterreise	n11	major	1828.0	1828	Early Romantic	A	-0.10821322374136827	0.27771947506428374	32	1150
1799	schubert_winterreise	n11	minor	1828.0	1828	Early Romantic	A	0.34780174469801217	0.8253158470104361	32	1150
1800	schubert_winterreise	n12	minor	1828.0	1828	Early Romantic	b	-0.17445721218811425	0.5822053924548977	32	1151
1801	schubert_winterreise	n13	major	1828.0	1828	Early Romantic	Eb	0.31065462040031233	0.5194697186840935	32	1152
1802	schubert_winterreise	n14	major	1828.0	1828	Early Romantic	c	0.1622036577626551	0.3336117872984257	32	1153
1803	schubert_winterreise	n14	minor	1828.0	1828	Early Romantic	c	0.1755448147685415	0.6393259113832296	32	1153
1804	schubert_winterreise	n15	major	1828.0	1828	Early Romantic	c	0.0	-0.14958347216955314	32	1154
1805	schubert_winterreise	n15	minor	1828.0	1828	Early Romantic	c	0.13638809629256912	0.23240629442301014	32	1154
1806	schubert_winterreise	n16	major	1828.0	1828	Early Romantic	Eb	-0.20884378684459246	0.4722775802612415	32	1155
1807	schubert_winterreise	n16	minor	1828.0	1828	Early Romantic	Eb	0.0	0.586029070719906	32	1155
1808	schubert_winterreise	n17	major	1828.0	1828	Early Romantic	D	-0.04052267863203419	0.2777639450834549	32	1156
1809	schubert_winterreise	n18	major	1828.0	1828	Early Romantic	d	0.0	0.8148814362763153	32	1157
1810	schubert_winterreise	n18	minor	1828.0	1828	Early Romantic	d	-0.1463278627804525	0.7434099489757825	32	1157
1811	schubert_winterreise	n19	major	1828.0	1828	Early Romantic	A	-0.0868852269146441	0.17010910322802913	32	1158
1812	schubert_winterreise	n20	major	1828.0	1828	Early Romantic	g	0.0	0.2642607220457706	32	1159
1813	schubert_winterreise	n20	minor	1828.0	1828	Early Romantic	g	0.45233042323571426	0.4773163921441198	32	1159
1814	schubert_winterreise	n21	major	1828.0	1828	Early Romantic	F	-0.1064552500497208	0.4024102714147378	32	1160
1815	schubert_winterreise	n22	major	1828.0	1828	Early Romantic	a	0.3684909957927603	0.17079039800794707	32	1161
1816	schubert_winterreise	n22	minor	1828.0	1828	Early Romantic	a	0.4938124793672537	0.5690640566757073	32	1161
1817	schubert_winterreise	n23	major	1828.0	1828	Early Romantic	A	-0.046566563018926053	-0.005862684824945142	32	1162
1818	schubert_winterreise	n23	minor	1828.0	1828	Early Romantic	A	-0.1964387400841454	0.2585426472792528	32	1162
1819	schubert_winterreise	n24	minor	1828.0	1828	Early Romantic	a	-0.22593259843027802	0.44532151948122656	32	1163
1820	schulhoff_suite_dansante_en_jazz	suite_dansante_en_jazz_1_stomp	major	1931.0	1931	Late Romantic	E	-0.10190601893062595	-0.010009116418768503	33	1164
1821	schulhoff_suite_dansante_en_jazz	suite_dansante_en_jazz_2_strait	minor	1931.0	1931	Late Romantic	e	0.37399685809989264	0.41321356819643973	33	1165
1822	schulhoff_suite_dansante_en_jazz	suite_dansante_en_jazz_3_waltz	major	1931.0	1931	Late Romantic	A	0.022692754356712672	0.29340093512221066	33	1166
1823	schulhoff_suite_dansante_en_jazz	suite_dansante_en_jazz_4_tango	major	1931.0	1931	Late Romantic	D	-0.021823384513294887	0.27044955035400553	33	1167
1824	schulhoff_suite_dansante_en_jazz	suite_dansante_en_jazz_5_slow	major	1931.0	1931	Late Romantic	D	0.10573450456595486	-0.1818972391936735	33	1168
1825	schulhoff_suite_dansante_en_jazz	suite_dansante_en_jazz_6_fox-trot	major	1931.0	1931	Late Romantic	E	0.12513629590910474	0.14683713060033105	33	1169
1826	schumann_kinderszenen	n01	major	1839.0	1839	Early Romantic	G	0.0	0.5559650323660602	34	1140
1827	schumann_kinderszenen	n02	major	1839.0	1839	Early Romantic	D	-0.07422873510499639	-0.12260578794012332	34	1141
1828	schumann_kinderszenen	n03	major	1839.0	1839	Early Romantic	b	-0.12209657262637609	0.5974825990231756	34	1142
1829	schumann_kinderszenen	n03	minor	1839.0	1839	Early Romantic	b	0.5328701692569687	0.9999999999999999	34	1142
1830	schumann_kinderszenen	n04	major	1839.0	1839	Early Romantic	D	-0.11912826639899302	0.7418383882506436	34	1143
1831	schumann_kinderszenen	n05	major	1839.0	1839	Early Romantic	D	0.6421575359934507	0.2950306107407257	34	1144
1832	schumann_kinderszenen	n06	major	1839.0	1839	Early Romantic	A	-0.07430894697252274	0.6552763802617195	34	1145
1833	schumann_kinderszenen	n07	major	1839.0	1839	Early Romantic	F	-0.05276319923154006	0.22355743470059555	34	1146
1834	schumann_kinderszenen	n07	minor	1839.0	1839	Early Romantic	F	0.0	0.6677836224570873	34	1146
1835	schumann_kinderszenen	n08	major	1839.0	1839	Early Romantic	F	0.446785849587948	0.6594427078844135	34	1147
1836	schumann_kinderszenen	n09	major	1839.0	1839	Early Romantic	C	0.0	0.6308618648433709	34	1148
1837	schumann_kinderszenen	n09	minor	1839.0	1839	Early Romantic	C	0.15075567228888181	0.7216610715582211	34	1148
1838	schumann_kinderszenen	n10	major	1839.0	1839	Early Romantic	g#	0.0	0.772135297701547	34	1149
1839	schumann_kinderszenen	n10	minor	1839.0	1839	Early Romantic	g#	-0.13315005718713652	0.5424548648759324	34	1149
1840	schumann_kinderszenen	n11	major	1839.0	1839	Early Romantic	e	0.0	0.2201038441477907	34	1150
1841	schumann_kinderszenen	n11	minor	1839.0	1839	Early Romantic	e	0.6906262197598341	0.319666536468198	34	1150
1842	schumann_kinderszenen	n12	major	1839.0	1839	Early Romantic	e	0.0	0.2422375540819805	34	1151
1843	schumann_kinderszenen	n12	minor	1839.0	1839	Early Romantic	e	0.0	-0.12625818816627288	34	1151
1844	schumann_kinderszenen	n13	major	1839.0	1839	Early Romantic	G	0.7687450364173577	0.6028869691581165	34	1152
1845	schumann_kinderszenen	n13	minor	1839.0	1839	Early Romantic	G	0.13698270269722765	0.6659951116107001	34	1152
1846	schumann_liederkreis	op39n01	major	1840.0	1840	Early Romantic	f#	0.0	0.7792372079065258	35	1170
1847	schumann_liederkreis	op39n01	minor	1840.0	1840	Early Romantic	f#	0.23085019177887647	0.8147935892445612	35	1170
1848	schumann_liederkreis	op39n02	major	1840.0	1840	Early Romantic	A	0.038602973787398354	0.3637420875067561	35	1171
1849	schumann_liederkreis	op39n02	minor	1840.0	1840	Early Romantic	A	-0.5	0.8660254037844388	35	1171
