	corpus	piece	localkey_mode	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	r_WLC_OLC	r_WLC_WLD	corpus_id	piece_id
84	ABC	n11op95_04	minor	1812.0509746203827	1810	Classical	Extended tonality	f	0.01775100015745462	0.4461406507542548	1	44
85	ABC	n12op127_01	major	1812.0509746203827	1824	Early Romantic	Extended tonality	Eb	0.24441400761198084	0.3071663795812558	1	45
86	ABC	n12op127_01	minor	1812.0509746203827	1824	Early Romantic	Extended tonality	Eb	0.2681307212307431	0.48764816201499195	1	45
87	ABC	n12op127_02	major	1812.0509746203827	1824	Early Romantic	Extended tonality	Ab	-0.05777595464837256	0.2164657896900182	1	46
88	ABC	n12op127_02	minor	1812.0509746203827	1824	Early Romantic	Extended tonality	Ab	-0.24210946442329395	0.34711791558505833	1	46
89	ABC	n12op127_03	major	1812.0509746203827	1824	Early Romantic	Extended tonality	Eb	0.11702374432599384	0.364786023840741	1	47
90	ABC	n12op127_03	minor	1812.0509746203827	1824	Early Romantic	Extended tonality	Eb	-0.06745745650627452	0.6264815968158666	1	47
91	ABC	n12op127_04	minor	1812.0509746203827	1824	Early Romantic	Extended tonality	Eb	0.2763489739570289	0.3819946536607431	1	48
92	ABC	n12op127_04	major	1812.0509746203827	1824	Early Romantic	Extended tonality	Eb	0.17584655650527073	0.3021406955569726	1	48
93	ABC	n13op130_01	major	1812.0509746203827	1826	Early Romantic	Extended tonality	Bb	-0.006718785122455011	0.36004061352467737	1	49
94	ABC	n13op130_01	minor	1812.0509746203827	1826	Early Romantic	Extended tonality	Bb	-0.0688291865606325	0.498247347559528	1	49
95	ABC	n13op130_02	minor	1812.0509746203827	1826	Early Romantic	Extended tonality	bb	-0.22599625324241873	0.1893103691896186	1	50
96	ABC	n13op130_02	major	1812.0509746203827	1826	Early Romantic	Extended tonality	bb	-0.039039150045531046	-0.0002627931855858189	1	50
97	ABC	n13op130_03	minor	1812.0509746203827	1826	Early Romantic	Extended tonality	Db	0.37957215560795937	0.7718717043647481	1	51
98	ABC	n13op130_03	major	1812.0509746203827	1826	Early Romantic	Extended tonality	Db	0.29885984795364745	0.2591566593207798	1	51
99	ABC	n13op130_04	major	1812.0509746203827	1826	Early Romantic	Extended tonality	G	-0.024673995794337315	0.270638335563646	1	52
100	ABC	n13op130_04	minor	1812.0509746203827	1826	Early Romantic	Extended tonality	G	-0.14715263556022662	0.6343512800558224	1	52
101	ABC	n13op130_05	major	1812.0509746203827	1826	Early Romantic	Extended tonality	Eb	-0.05549298145667164	0.32709545399260875	1	53
102	ABC	n13op130_05	minor	1812.0509746203827	1826	Early Romantic	Extended tonality	Eb	-0.27241637151682235	0.3055248925678494	1	53
103	ABC	n13op130_06	major	1812.0509746203827	1826	Early Romantic	Extended tonality	Bb	-0.08073157571771043	0.46711379311161	1	54
104	ABC	n13op130_06	minor	1812.0509746203827	1826	Early Romantic	Extended tonality	Bb	-0.6195732141901679	0.9274437076248842	1	54
105	ABC	n14op131_01	major	1812.0509746203827	1826	Early Romantic	Extended tonality	c#	0.1636361142718792	0.5224407295776321	1	55
106	ABC	n14op131_01	minor	1812.0509746203827	1826	Early Romantic	Extended tonality	c#	0.13208324272002914	0.6349528177946847	1	55
107	ABC	n14op131_02	major	1812.0509746203827	1826	Early Romantic	Extended tonality	D	0.3539153774807147	0.39551601314671253	1	56
108	ABC	n14op131_02	minor	1812.0509746203827	1826	Early Romantic	Extended tonality	D	0.33383181697025105	0.6265665786788227	1	56
109	ABC	n14op131_03	major	1812.0509746203827	1826	Early Romantic	Extended tonality	b	-0.135554767207503	0.44430138055817875	1	57
110	ABC	n14op131_03	minor	1812.0509746203827	1826	Early Romantic	Extended tonality	b	0.2773500981126145	0.4415586070570979	1	57
111	ABC	n14op131_04	major	1812.0509746203827	1826	Early Romantic	Extended tonality	A	0.0266824330749295	0.40703799890912334	1	58
112	ABC	n14op131_05	major	1812.0509746203827	1826	Early Romantic	Extended tonality	E	0.14485962153578552	0.19353519358944987	1	59
113	ABC	n14op131_05	minor	1812.0509746203827	1826	Early Romantic	Extended tonality	E	0.0	1.0000000000000002	1	59
114	ABC	n14op131_06	minor	1812.0509746203827	1826	Early Romantic	Extended tonality	g#	0.1807515618826174	0.7351123452080929	1	60
115	ABC	n14op131_07	major	1812.0509746203827	1826	Early Romantic	Extended tonality	c#	0.13784772785724553	0.3144688455706489	1	61
116	ABC	n14op131_07	minor	1812.0509746203827	1826	Early Romantic	Extended tonality	c#	0.04377257462190475	0.6629233521436787	1	61
117	ABC	n15op132_01	major	1812.0509746203827	1825	Early Romantic	Extended tonality	a	-0.03359351629808287	0.4534726945704933	1	62
118	ABC	n15op132_01	minor	1812.0509746203827	1825	Early Romantic	Extended tonality	a	0.04960290679920791	0.5014473719389527	1	62
119	ABC	n15op132_02	major	1812.0509746203827	1825	Early Romantic	Extended tonality	A	0.05592085603990841	0.27247304770307934	1	63
120	ABC	n15op132_02	minor	1812.0509746203827	1825	Early Romantic	Extended tonality	A	0.10840727259799841	0.42467782075611205	1	63
121	ABC	n15op132_03	major	1812.0509746203827	1825	Early Romantic	Extended tonality	C	0.02313661917614011	0.35007140583554425	1	64
122	ABC	n15op132_04	major	1812.0509746203827	1825	Early Romantic	Extended tonality	A	-0.04469901562676742	0.24576421458296255	1	65
123	ABC	n15op132_04	minor	1812.0509746203827	1825	Early Romantic	Extended tonality	A	0.2171466020085029	0.6805025970312039	1	65
124	ABC	n15op132_05	major	1812.0509746203827	1825	Early Romantic	Extended tonality	a	-0.04640031064550076	0.3750456490078195	1	66
125	ABC	n15op132_05	minor	1812.0509746203827	1825	Early Romantic	Extended tonality	a	-0.014143671658029097	0.3590302828118131	1	66
126	ABC	n16op135_01	major	1812.0509746203827	1826	Early Romantic	Extended tonality	F	-0.04078351517956139	0.2078095196221369	1	67
