	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	max_WL	min_WL	max_OL	min_OL	WLC	OLC	WL_5th_range	OL_5th_range	corpus_id	piece_id	WLC_percentage	OLC_percentage
205	corelli	op01n06d	1687.6864702945581	1681	Baroque	Baroque	b	major	8	-1	5	-1	0.21951219512195122	0.0	9	6	6	157	1.0	0.0
206	corelli	op01n07a	1687.6864702945581	1681	Baroque	Baroque	C	major	6	-2	6	-2	0.043795620437956206	0.0364963503649635	8	8	6	158	0.5454545454545455	0.45454545454545453
209	corelli	op01n07b	1687.6864702945581	1681	Baroque	Baroque	C	major	8	-1	0	-1	0.07692307692307693	0.0	9	1	6	159	1.0	0.0
210	corelli	op01n07c	1687.6864702945581	1681	Baroque	Baroque	C	major	6	-3	6	-1	0.08870967741935484	0.016129032258064516	9	7	6	160	0.8461538461538461	0.15384615384615383
216	corelli	op01n09a	1687.6864702945581	1681	Baroque	Baroque	G	major	6	-1	5	-1	0.125	0.0	7	6	6	165	1.0	0.0
217	corelli	op01n09b	1687.6864702945581	1681	Baroque	Baroque	G	major	8	-5	6	-2	0.2	0.013333333333333334	13	8	6	166	0.9375	0.0625
218	corelli	op01n09c	1687.6864702945581	1681	Baroque	Baroque	G	major	8	-2	4	-1	0.28169014084507044	0.0	10	5	6	167	1.0	0.0
219	corelli	op01n09d	1687.6864702945581	1681	Baroque	Baroque	G	major	8	-5	8	-1	0.5555555555555556	0.09259259259259259	13	9	6	168	0.8571428571428572	0.14285714285714285
221	corelli	op01n10a	1687.6864702945581	1681	Baroque	Baroque	g	major	5	-1	0	0	0.0	0.0	6	0	6	169	0.0	0.0
225	corelli	op01n10d	1687.6864702945581	1681	Baroque	Baroque	g	major	5	-1	3	0	0.0	0.0	6	3	6	172	0.0	0.0
227	corelli	op01n10e	1687.6864702945581	1681	Baroque	Baroque	g	major	5	-1	7	0	0.0	0.10714285714285714	6	7	6	173	0.0	1.0
230	corelli	op01n11b	1687.6864702945581	1681	Baroque	Baroque	d	major	5	-1	5	-1	0.0	0.0	6	6	6	175	0.0	0.0
232	corelli	op01n11c	1687.6864702945581	1681	Baroque	Baroque	d	major	5	-1	0	0	0.0	0.0	6	0	6	176	0.0	0.0
234	corelli	op01n11d	1687.6864702945581	1681	Baroque	Baroque	d	major	5	-1	5	-1	0.0	0.0	6	6	6	177	0.0	0.0
235	corelli	op01n12a	1687.6864702945581	1681	Baroque	Baroque	D	major	8	-4	5	-1	0.3492063492063492	0.0	12	6	6	178	1.0	0.0
236	corelli	op01n12b	1687.6864702945581	1681	Baroque	Baroque	D	major	8	-2	8	-2	0.18811881188118812	0.12871287128712872	10	10	6	179	0.59375	0.40625
238	corelli	op01n12c	1687.6864702945581	1681	Baroque	Baroque	b	major	6	-3	5	0	0.3333333333333333	0.0	9	5	6	180	1.0	0.0
239	corelli	op01n12d	1687.6864702945581	1681	Baroque	Baroque	D	major	8	-4	6	-2	0.08888888888888889	0.02666666666666667	12	8	6	181	0.7692307692307692	0.23076923076923075
240	corelli	op03n01a	1687.6864702945581	1689	Baroque	Baroque	F	major	5	-1	5	-1	0.0	0.0	6	6	6	182	0.0	0.0
242	corelli	op03n01b	1687.6864702945581	1689	Baroque	Baroque	F	major	8	-1	5	-1	0.022727272727272728	0.0	9	6	6	183	1.0	0.0
244	corelli	op03n01c	1687.6864702945581	1689	Baroque	Baroque	F	major	6	-2	6	-1	0.03125	0.010416666666666666	8	7	6	184	0.75	0.25
246	corelli	op03n01d	1687.6864702945581	1689	Baroque	Baroque	F	major	6	-1	5	-2	0.013888888888888888	0.006944444444444444	7	7	6	185	0.6666666666666666	0.3333333333333333
248	corelli	op03n02a	1687.6864702945581	1689	Baroque	Baroque	D	major	8	-2	5	-1	0.08823529411764706	0.0	10	6	6	186	1.0	0.0
249	corelli	op03n02b	1687.6864702945581	1689	Baroque	Baroque	D	major	7	-1	5	-1	0.030927835051546393	0.0	8	6	6	187	1.0	0.0
252	corelli	op03n02c	1687.6864702945581	1689	Baroque	Baroque	b	major	5	-8	8	0	0.32432432432432434	0.08108108108108109	13	8	6	188	0.8	0.2
253	corelli	op03n02d	1687.6864702945581	1689	Baroque	Baroque	D	major	6	-3	5	-1	0.09302325581395349	0.0	9	6	6	189	1.0	0.0
255	corelli	op03n03a	1687.6864702945581	1689	Baroque	Baroque	Bb	major	8	-3	5	-1	0.1875	0.0	11	6	6	190	1.0	0.0
