	corpus	piece	corpus_year	piece_year	globalkey	localkey_mode	max_wl	min_wl	max_ol	min_ol	WLC	OLC	wl_fifths_range	ol_fifths_range	corpus_id	piece_id
91	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	1635.0	1635	C	minor	5	-3	4	-3	1.8823529411764706	0.14705882352941177	8	7	4	92
92	frescobaldi_fiori_musicali	12.34_Toccata_avanti_la_Messa_della_Madonna	1635.0	1635	d	minor	6	-4	5	-3	1.0526315789473684	0.4473684210526316	10	8	4	93
93	frescobaldi_fiori_musicali	12.35_Kyrie,_Tema_I	1635.0	1635	d	minor	5	-4	3	-3	0.6190476190476191	0.09523809523809523	9	6	4	94
94	frescobaldi_fiori_musicali	12.36_Kyrie,_Tema_K	1635.0	1635	d	minor	5	-4	3	-4	0.34782608695652173	0.2391304347826087	9	7	4	95
95	frescobaldi_fiori_musicali	12.37_Christe,_Tema_L	1635.0	1635	d	minor	6	-4	3	-4	0.639344262295082	0.06557377049180328	10	7	4	96
96	frescobaldi_fiori_musicali	12.38_Christe,_Tema_M	1635.0	1635	d	minor	5	-4	4	-3	0.425	0.2	9	7	4	97
97	frescobaldi_fiori_musicali	12.39_Kyrie,_Tema_N	1635.0	1635	d	minor	6	-4	5	-3	0.47058823529411764	0.23529411764705882	10	8	4	98
98	frescobaldi_fiori_musicali	12.40_Kyrie,_Tema_O	1635.0	1635	d	minor	6	-4	3	-3	0.5849056603773585	0.018867924528301886	10	6	4	99
99	frescobaldi_fiori_musicali	12.41_Canzon_dopo_l'Epistola	1635.0	1635	g	minor	6	-4	4	-3	1.1031746031746033	0.24603174603174602	10	7	4	100
100	frescobaldi_fiori_musicali	12.42_Recercar_dopo_il_Credo	1635.0	1635	g	minor	7	-4	3	-4	0.8461538461538461	0.08974358974358974	11	7	4	101
101	frescobaldi_fiori_musicali	12.43_Toccata_avanti_il_Recercar	1635.0	1635	a	minor	5	-5	5	-4	1.0	0.3157894736842105	10	9	4	102
102	frescobaldi_fiori_musicali	12.44_Recercar_con_obligo_di_cantare_la_quinta_parte_non_senza_toccarla	1635.0	1635	a	minor	5	-4	3	-4	0.3383084577114428	0.024875621890547265	9	7	4	103
103	frescobaldi_fiori_musicali	12.46_Bergamasca	1635.0	1635	G	major	7	-4	6	-2	0.3179611650485437	0.11165048543689321	11	8	4	104
104	frescobaldi_fiori_musicali	12.47_Capriccio_sopra_la_Girolmeta	1635.0	1635	G	major	8	-3	6	-2	0.22311827956989247	0.12634408602150538	11	8	4	105
105	kleine_geistliche_konzerte	op08n01swv282_Eile_mich,_Gott,_zu_erretten	1637.9308224442736	1636	d	minor	6	-4	5	-4	0.9880952380952381	0.17857142857142858	10	9	5	106
106	kleine_geistliche_konzerte	op08n02swv283_Bringt_her_dem_Herren	1637.9308224442736	1636	C	major	8	-2	5	-1	0.24431818181818182	0.0	10	6	5	107
107	kleine_geistliche_konzerte	op08n03swv284_Ich_danke_dem_Herrn_von_ganzem_Herzen	1637.9308224442736	1636	g	minor	7	-4	5	-4	0.8607594936708861	0.08016877637130802	11	9	5	108
108	kleine_geistliche_konzerte	op08n04swv285_O_süsser,_o_freundlicher	1637.9308224442736	1636	g	minor	7	-5	5	-4	0.844559585492228	0.046632124352331605	12	9	5	109
109	kleine_geistliche_konzerte	op08n05swv286_Der_Herr_ist_gross	1637.9308224442736	1636	G	major	7	-2	5	-2	0.34532374100719426	0.04316546762589928	9	7	5	110
110	kleine_geistliche_konzerte	op08n06swv287_O_lieber_Herre_Gott	1637.9308224442736	1636	g	minor	7	-4	6	-5	0.8140703517587939	0.21105527638190955	11	11	5	111
111	kleine_geistliche_konzerte	op08n07swv288_Ihr_Heiligen,_lobsinget_dem_Herren	1637.9308224442736	1636	D	major	7	-3	6	-2	0.3724137931034483	0.05517241379310345	10	8	5	112
112	kleine_geistliche_konzerte	op08n08swv289_Erhöre_mich,_wenn_ich_rufe	1637.9308224442736	1636	e	minor	6	-5	3	-4	0.4375	0.015625	11	7	5	113
113	kleine_geistliche_konzerte	op08n09swv290_Wohl_dem,_der_nicht_wandelt_im_Rat_der_Gottlosen	1637.9308224442736	1636	g	minor	7	-7	5	-4	0.7768595041322314	0.11570247933884298	14	9	5	114
114	kleine_geistliche_konzerte	op08n10swv291_Schaffe_in_mir,_Gott,_ein_reines_Herz	1637.9308224442736	1636	G	major	7	-3	6	-3	0.3557692307692308	0.038461538461538464	10	9	5	115
115	kleine_geistliche_konzerte	op08n11swv292_Der_Herr_schauet_vom_Himmel_auf_der_Menschen_Kinder	1637.9308224442736	1636	G	major	7	-3	5	-2	0.3333333333333333	0.05185185185185185	10	7	5	116
116	kleine_geistliche_konzerte	op08n12swv293_Lobet_den_Herren,_der_zu_Zion_wohnet	1637.9308224442736	1636	G	major	7	-3	4	-2	0.291970802919708	0.051094890510948905	10	6	5	117
117	kleine_geistliche_konzerte	op08n13swv294_Eins_bitte_ich_vom_Herren	1637.9308224442736	1636	F	major	8	-2	5	-2	0.2	0.012121212121212121	10	7	5	118
