	corpus	piece	localkey_mode	corpus_id	piece_id	corpus_year	piece_year	period	globalkey	r_ilc_olc	r_ilc_ild
126	kleine_geistliche_konzerte	op08n23swv304_Siehe,_mein_Fürsprecher_im_Himmel	major	5	22	1637.9308224442736	1636	Renaissance	G	-0.019725441506993787	0.17059815246778096
127	kleine_geistliche_konzerte	op08n24swv305_Ich_hab_mein_Sach_Gott_heimgestellt	minor	5	23	1637.9308224442736	1636	Renaissance	g	-0.00697863458143639	0.008144110355582473
128	kleine_geistliche_konzerte	op09n01swv306_Ich_will_den_Herren_loben_allezeit	major	5	24	1637.9308224442736	1639	Renaissance	F	0.0	0.09781735468646763
129	kleine_geistliche_konzerte	op09n02swv307_Was_hast_du_verwirket	minor	5	25	1637.9308224442736	1639	Renaissance	d	-0.07336634968252126	0.2766744208200986
130	kleine_geistliche_konzerte	op09n03swv308_O_Jesu,_nomen_dulce	minor	5	26	1637.9308224442736	1639	Renaissance	g	-0.11260335927428508	0.16902162321045866
131	kleine_geistliche_konzerte	op09n04swv309_O_misericordissime_Jesu	minor	5	27	1637.9308224442736	1639	Renaissance	g	0.03610027421101724	0.1811731942163363
132	kleine_geistliche_konzerte	op09n05swv310_Ich_liege_und_schlafe	minor	5	28	1637.9308224442736	1639	Renaissance	a	0.19556698132393668	0.22463484462620648
133	kleine_geistliche_konzerte	op09n06swv311_Habe_deine_Lust_an_dem_Herren	minor	5	29	1637.9308224442736	1639	Renaissance	a	0.0037696044418561864	0.16617321207083396
134	kleine_geistliche_konzerte	op09n07swv312_Herr,_ich_hoffe_darauf	minor	5	30	1637.9308224442736	1639	Renaissance	d	-0.05385830230542287	-0.007002896158901059
135	kleine_geistliche_konzerte	op09n08swv313_Bone_Jesu,_verbum_Patris	minor	5	31	1637.9308224442736	1639	Renaissance	a	0.011062069970388444	0.017434530406032846
136	kleine_geistliche_konzerte	op09n09swv314_Verbum_caro_factum	minor	5	32	1637.9308224442736	1639	Renaissance	g	0.18151722822933572	0.05149941005583126
137	kleine_geistliche_konzerte	op09n10swv315_Hodie_Christus_natus_est	minor	5	33	1637.9308224442736	1639	Renaissance	d	-0.00664190426460903	0.11392794229892865
138	kleine_geistliche_konzerte	op09n11swv316_Wann_unsre_Augen_schlafen_ein	minor	5	34	1637.9308224442736	1639	Renaissance	g	0.10203063310789884	0.32980623728670827
139	kleine_geistliche_konzerte	op09n12swv317_Meister,_wir_haben_die_ganze_Nacht_gearbeitet	minor	5	35	1637.9308224442736	1639	Renaissance	d	0.2927317812859269	0.1788144497380643
140	kleine_geistliche_konzerte	op09n13swv318_Die_Furcht_des_Herren	minor	5	36	1637.9308224442736	1639	Renaissance	g	0.2717978757662054	-0.03602512652780429
