	corpus	piece	corpus_year	piece_year	period	globalkey	localkey_mode	total_WLD	chord_num	avg_WLD	corpus_id	piece_id
105	kleine_geistliche_konzerte	op09n05swv310_Ich_liege_und_schlafe	1637.9308224442736	1639	Renaissance	a	minor	38.8664	179	0.21713072625698324	5	106
106	kleine_geistliche_konzerte	op09n06swv311_Habe_deine_Lust_an_dem_Herren	1637.9308224442736	1639	Renaissance	a	minor	87.4927	351	0.24926695156695156	5	107
107	kleine_geistliche_konzerte	op09n07swv312_Herr,_ich_hoffe_darauf	1637.9308224442736	1639	Renaissance	d	minor	39.1999	167	0.23472994011976048	5	108
108	kleine_geistliche_konzerte	op09n08swv313_Bone_Jesu,_verbum_Patris	1637.9308224442736	1639	Renaissance	a	minor	60.8496	268	0.22705074626865673	5	109
109	kleine_geistliche_konzerte	op09n09swv314_Verbum_caro_factum	1637.9308224442736	1639	Renaissance	g	minor	60.4165	260	0.23237115384615384	5	110
110	kleine_geistliche_konzerte	op09n10swv315_Hodie_Christus_natus_est	1637.9308224442736	1639	Renaissance	d	minor	58.783100000000005	241	0.24391327800829876	5	111
111	kleine_geistliche_konzerte	op09n11swv316_Wann_unsre_Augen_schlafen_ein	1637.9308224442736	1639	Renaissance	g	minor	35.5332	170	0.20901882352941176	5	112
112	kleine_geistliche_konzerte	op09n12swv317_Meister,_wir_haben_die_ganze_Nacht_gearbeitet	1637.9308224442736	1639	Renaissance	d	minor	21.0665	86	0.2449593023255814	5	113
113	kleine_geistliche_konzerte	op09n13swv318_Die_Furcht_des_Herren	1637.9308224442736	1639	Renaissance	g	minor	25.55	118	0.21652542372881356	5	114
114	kleine_geistliche_konzerte	op09n14swv319_Ich_beuge_meine_Knie_gegen_dem_Vater	1637.9308224442736	1639	Renaissance	G	major	47.982800000000005	215	0.2231758139534884	5	115
115	kleine_geistliche_konzerte	op09n15swv320_Ich_bin_jung_gewesen_und_bin_alt_worden	1637.9308224442736	1639	Renaissance	F	major	34.6664	150	0.23110933333333336	5	116
116	kleine_geistliche_konzerte	op09n16swv321_Herr,_wenn_ich_nur_dich	1637.9308224442736	1639	Renaissance	d	minor	46.4499	187	0.2483951871657754	5	117
117	kleine_geistliche_konzerte	op09n17swv322_Rorate,_rorate_coeli	1637.9308224442736	1639	Renaissance	g	minor	43.1464	190	0.2270863157894737	5	118
118	kleine_geistliche_konzerte	op09n18swv323_Joseph,_du_Sohn_David	1637.9308224442736	1639	Renaissance	a	minor	42.0797	170	0.24752764705882355	5	119
119	kleine_geistliche_konzerte	op09n19swv324_Ich_bin_die_Auferstehung	1637.9308224442736	1639	Renaissance	d	minor	53.1995	234	0.2273482905982906	5	120
120	kleine_geistliche_konzerte	op09n20swv325_Die_Seele_Christi_heilige_mich	1637.9308224442736	1639	Renaissance	g	minor	50.8995	217	0.2345599078341014	5	121
121	kleine_geistliche_konzerte	op09n21swv326_Ich_ruf_zu_dir,_Herr_Jesu_Christ	1637.9308224442736	1639	Renaissance	g	minor	44.2095	180	0.24560833333333332	5	122
122	kleine_geistliche_konzerte	op09n22swv327_Allein_Gott_in_der_Höh	1637.9308224442736	1639	Renaissance	G	major	82.84620000000001	352	0.23535852272727276	5	123
123	kleine_geistliche_konzerte	op09n23swv328_Veni,_Sancte_Spiritus	1637.9308224442736	1639	Renaissance	G	major	64.1165	259	0.24755405405405406	5	124
124	kleine_geistliche_konzerte	op09n24swv329_Ist_Gott_für_uns	1637.9308224442736	1639	Renaissance	g	minor	40.983200000000004	192	0.2134541666666667	5	125
125	kleine_geistliche_konzerte	op09n25swv330_Wer_will_uns_scheiden_von_der_Liebe_Gottes	1637.9308224442736	1639	Renaissance	g	minor	40.233200000000004	178	0.22602921348314609	5	126
126	kleine_geistliche_konzerte	op09n26swv331_Die_Stimm_des_Herren_gehet_auf_den_Wassern	1637.9308224442736	1639	Renaissance	d	minor	53.3831	237	0.22524514767932488	5	127
127	kleine_geistliche_konzerte	op09n27swv332_Jubilate_Deo_omnis_terra	1637.9308224442736	1639	Renaissance	F	major	86.0659	351	0.2452019943019943	5	128
128	kleine_geistliche_konzerte	op09n28swv333_Sei_gegrüßet,_Maria	1637.9308224442736	1639	Renaissance	G	major	88.3061	376	0.23485664893617023	5	129
129	kleine_geistliche_konzerte	op09n29swv334_Ave_Maria,_qualis_est	1637.9308224442736	1639	Renaissance	G	major	87.7227	376	0.23330505319148936	5	130
130	kleine_geistliche_konzerte	op09n30swv335_Was_betrübst_du_dich,_meine_Seele	1637.9308224442736	1639	Renaissance	g	minor	49.8131	194	0.25676855670103094	5	131
131	kleine_geistliche_konzerte	op09n31swv336_Quemadmodum_desiderat_cervus	1637.9308224442736	1639	Renaissance	g	minor	113.9794	478	0.23845062761506275	5	132
132	kleine_geistliche_konzerte	op09n32swv337_Aufer_immensam	1637.9308224442736	1639	Renaissance	a	minor	108.2925	428	0.2530198598130841	5	133
133	corelli	op01n01a	1687.6864702945581	1681	Baroque	F	major	17.3165	61	0.2838770491803279	6	134
134	corelli	op01n01b	1687.6864702945581	1681	Baroque	F	major	38.0327	138	0.2755992753623188	6	135
135	corelli	op01n01c	1687.6864702945581	1681	Baroque	F	major	26.349800000000002	95	0.2773663157894737	6	136
136	corelli	op01n01d	1687.6864702945581	1681	Baroque	F	major	35.9662	138	0.2606246376811594	6	137
137	corelli	op01n02a	1687.6864702945581	1681	Baroque	e	minor	21.1999	75	0.2826653333333333	6	138
138	corelli	op01n02b	1687.6864702945581	1681	Baroque	e	minor	33.4829	121	0.2767181818181818	6	139
139	corelli	op01n02c	1687.6864702945581	1681	Baroque	e	minor	16.6663	64	0.2604109375	6	140
140	corelli	op01n02d	1687.6864702945581	1681	Baroque	e	minor	47.8495	170	0.28146764705882354	6	141
141	corelli	op01n03a	1687.6864702945581	1681	Baroque	A	major	19.9332	66	0.3020181818181818	6	142
142	corelli	op01n03b	1687.6864702945581	1681	Baroque	A	major	63.499700000000004	223	0.28475201793721977	6	143
143	corelli	op01n03c	1687.6864702945581	1681	Baroque	A	minor	19.133	68	0.2813676470588235	6	144
144	corelli	op01n03d	1687.6864702945581	1681	Baroque	A	major	40.7832	171	0.2384982456140351	6	145
145	corelli	op01n04a	1687.6864702945581	1681	Baroque	a	minor	12.5332	52	0.24102307692307695	6	146
146	corelli	op01n04b	1687.6864702945581	1681	Baroque	a	minor	6.466600000000001	26	0.24871538461538464	6	147
147	corelli	op01n04c	1687.6864702945581	1681	Baroque	a	minor	33.0498	117	0.28247692307692307	6	148
148	corelli	op01n04d	1687.6864702945581	1681	Baroque	a	minor	29.6496	115	0.25782260869565216	6	149
149	corelli	op01n05a	1687.6864702945581	1681	Baroque	Bb	major	29.616400000000002	90	0.32907111111111115	6	150
150	corelli	op01n05b	1687.6864702945581	1681	Baroque	Bb	major	45.6495	149	0.30637248322147653	6	151
151	corelli	op01n05c	1687.6864702945581	1681	Baroque	Bb	minor	16.7166	59	0.2833322033898305	6	152
152	corelli	op01n05d	1687.6864702945581	1681	Baroque	Bb	major	30.9997	117	0.26495470085470085	6	153
153	corelli	op01n06a	1687.6864702945581	1681	Baroque	b	minor	13.399700000000001	44	0.3045386363636364	6	154
154	corelli	op01n06b	1687.6864702945581	1681	Baroque	b	minor	58.4824	182	0.32133186813186815	6	155
155	corelli	op01n06c	1687.6864702945581	1681	Baroque	b	minor	25.6996	86	0.2988325581395349	6	156
156	corelli	op01n06d	1687.6864702945581	1681	Baroque	b	minor	33.783100000000005	130	0.25987000000000005	6	157
157	corelli	op01n07a	1687.6864702945581	1681	Baroque	C	major	43.033100000000005	148	0.2907641891891892	6	158
158	corelli	op01n07b	1687.6864702945581	1681	Baroque	C	minor	16.133200000000002	55	0.29333090909090914	6	159
159	corelli	op01n07c	1687.6864702945581	1681	Baroque	C	major	48.376200000000004	169	0.28624970414201184	6	160
160	corelli	op01n08a	1687.6864702945581	1681	Baroque	c	minor	14.5332	56	0.25952142857142857	6	161
161	corelli	op01n08b	1687.6864702945581	1681	Baroque	c	minor	18.9665	74	0.25630405405405404	6	162
162	corelli	op01n08c	1687.6864702945581	1681	Baroque	c	minor	33.2996	119	0.2798285714285714	6	163
163	corelli	op01n08d	1687.6864702945581	1681	Baroque	c	minor	14.8666	70	0.21238	6	164
164	corelli	op01n09a	1687.6864702945581	1681	Baroque	G	major	8.5333	40	0.2133325	6	165
165	corelli	op01n09b	1687.6864702945581	1681	Baroque	G	major	45.3998	150	0.30266533333333334	6	166
166	corelli	op01n09c	1687.6864702945581	1681	Baroque	G	major	19.0165	71	0.2678380281690141	6	167
167	corelli	op01n09d	1687.6864702945581	1681	Baroque	G	major	13.083300000000001	54	0.24228333333333335	6	168
168	corelli	op01n10a	1687.6864702945581	1681	Baroque	g	minor	14.5833	45	0.3240733333333333	6	169
169	corelli	op01n10b	1687.6864702945581	1681	Baroque	g	minor	19.2666	70	0.27523714285714285	6	170
170	corelli	op01n10c	1687.6864702945581	1681	Baroque	g	minor	28.616500000000002	106	0.2699669811320755	6	171
171	corelli	op01n10d	1687.6864702945581	1681	Baroque	g	minor	15.4665	55	0.2812090909090909	6	172
172	corelli	op01n10e	1687.6864702945581	1681	Baroque	g	minor	31.399700000000003	132	0.23787651515151517	6	173
173	corelli	op01n11a	1687.6864702945581	1681	Baroque	d	minor	18.6331	59	0.3158152542372881	6	174
174	corelli	op01n11b	1687.6864702945581	1681	Baroque	d	minor	33.5492	120	0.27957666666666664	6	175
175	corelli	op01n11c	1687.6864702945581	1681	Baroque	d	minor	20.4663	76	0.2692934210526316	6	176
176	corelli	op01n11d	1687.6864702945581	1681	Baroque	d	minor	20.7163	78	0.26559358974358976	6	177
177	corelli	op01n12a	1687.6864702945581	1681	Baroque	D	major	19.616500000000002	63	0.3113730158730159	6	178
178	corelli	op01n12b	1687.6864702945581	1681	Baroque	D	major	29.4659	101	0.29174158415841583	6	179
179	corelli	op01n12c	1687.6864702945581	1681	Baroque	b	minor	12.2666	41	0.29918536585365857	6	180
180	corelli	op01n12d	1687.6864702945581	1681	Baroque	D	major	61.115500000000004	225	0.27162444444444445	6	181
181	corelli	op03n01a	1687.6864702945581	1689	Baroque	F	major	23.366600000000002	77	0.3034623376623377	6	182
182	corelli	op03n01b	1687.6864702945581	1689	Baroque	F	major	41.4831	146	0.2841308219178082	6	183
183	corelli	op03n01c	1687.6864702945581	1689	Baroque	F	major	31.5165	115	0.2740565217391304	6	184
184	corelli	op03n01d	1687.6864702945581	1689	Baroque	F	major	47.1161	152	0.3099743421052632	6	185
185	corelli	op03n02a	1687.6864702945581	1689	Baroque	D	major	20.3166	68	0.2987735294117647	6	186
