	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey	localkey_mode	WLC	OLC	corpus_id	piece_id
82	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	IV	major	0.0	0.0	2	12
83	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	I	major	0.0	0.0	2	12
84	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	i	minor	1.0769230769230769	0.0	2	13
85	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	iv	minor	1.4	0.0	2	13
86	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	VI	major	0.0	0.14285714285714285	2	13
87	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	VII	major	0.6666666666666666	0.3333333333333333	2	13
88	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	iv	minor	1.2	0.0	2	13
89	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	III	major	0.0	0.0	2	13
90	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	iv	minor	0.75	0.25	2	13
91	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	i	minor	1.0	0.0	2	13
92	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	III	major	0.0	0.0	2	13
93	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	VI	major	0.0	0.2	2	13
94	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	iv	minor	0.5	0.0	2	13
95	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	i	minor	0.8333333333333334	0.0	2	13
96	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	VI	major	0.42857142857142855	0.0	2	13
97	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	i	minor	0.6666666666666666	0.0	2	13
98	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	iv	minor	1.5	0.0	2	13
99	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	VII	major	0.5714285714285714	0.0	2	13
100	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	i	minor	1.1851851851851851	0.2962962962962963	2	13
101	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	0.5	0.0	2	14
102	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	v	minor	0.5454545454545454	0.0	2	14
103	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	VII	major	0.0	0.0	2	14
104	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	III	major	0.0	0.0	2	14
105	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	1.5	0.0	2	14
106	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	v	minor	1.6666666666666667	0.0	2	14
107	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	III	major	0.0	0.0	2	14
108	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	1.5	0.0	2	14
109	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	IV	major	0.0	0.0	2	14
110	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	VII	major	0.0	0.0	2	14
111	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	iv	minor	1.2222222222222223	0.0	2	14
112	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	1.4545454545454546	0.09090909090909091	2	14
113	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	VII	major	0.0	0.0	2	14
114	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	1.4	0.0	2	14
115	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	III	major	0.25	0.08333333333333333	2	14
116	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	IV	major	0.4	0.0	2	14
117	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	v	minor	1.375	0.0	2	14
118	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	ii	minor	1.8333333333333333	0.0	2	14
119	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	I	major	0.0	0.25	2	14
120	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	v	minor	1.7142857142857142	0.0	2	14
121	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	0.7777777777777778	0.0	2	15
122	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	v	minor	0.7272727272727273	0.09090909090909091	2	15
123	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	0.75	0.0	2	15
124	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	IV	major	0.5	0.0	2	15
125	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	minor	0.8444444444444444	0.022222222222222223	2	15
