2023-11-27 16:10:52,655 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 2, midi: 50, name: D3
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 4, midi: 88, name: E6
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 3, midi: 45, name: A2
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 3, midi: 57, name: A3
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 3, midi: 69, name: A4
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 3, midi: 93, name: A6
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 7, midi: 49, name: C#3
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 4, midi: 52, name: E3
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 7, midi: 49, name: C#3
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 3, midi: 45, name: A2
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 3, midi: 57, name: A3
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 3, midi: 69, name: A4
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 1, midi: 43, name: G2
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 6, midi: 42, name: F#2
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 4, midi: 40, name: E2
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 2, midi: 38, name: D2
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 1, midi: 67, name: G4
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 4, midi: 76, name: E5
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 4, midi: 88, name: E6
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 6, midi: 66, name: F#4
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 1, midi: 55, name: G3
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 4, midi: 64, name: E4
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 2, midi: 62, name: D4
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 3, midi: 45, name: A2
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 7, midi: 61, name: C#4
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 5, midi: 59, name: B3
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 1, midi: 55, name: G3
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 7, midi: 61, name: C#4
2023-11-27 16:10:52,656 - WARNING - corpus: ABC, piece: n05op18-5_03, quarterbeats: nan, tpc: 3, midi: 57, name: A3
