	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period_Johannes	period_Fabian	globalkey	localkey_mode	WLC	OLC	WLD
82	frescobaldi_fiori_musicali	12.23_Christe,_Tema_F_2	4	57	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.6730769230769231	0.057692307692307696	0.5661105769230769
83	frescobaldi_fiori_musicali	12.24_Kyrie,_Tema_G_1	4	58	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.45098039215686275	0.0784313725490196	0.5079627450980392
84	frescobaldi_fiori_musicali	12.25_Kyrie,_Tema_G_2	4	59	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.4461538461538462	0.26153846153846155	0.5216409230769231
85	frescobaldi_fiori_musicali	12.26_Kyrie,_Tema_H	4	60	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.6825396825396826	0.23809523809523808	0.5928484126984127
86	frescobaldi_fiori_musicali	12.27_Canzon_dopo_l'Epistola	4	61	1635.0	1635	pre-Baroque	Renaissance	C	major	0.23557692307692307	0.019230769230769232	0.5313170673076922
87	frescobaldi_fiori_musicali	12.28_Toccata_avanti_il_Recercar	4	62	1635.0	1635	pre-Baroque	Renaissance	d	minor	1.3833333333333333	0.21666666666666667	0.7031215
88	frescobaldi_fiori_musicali	12.29_Recercar_cromaticho_post_il_Credo	4	63	1635.0	1635	pre-Baroque	Renaissance	d	minor	1.0532786885245902	0.14754098360655737	0.5733663524590163
89	frescobaldi_fiori_musicali	12.30_Alto_recercar	4	64	1635.0	1635	pre-Baroque	Renaissance	g	minor	0.5573248407643312	0.16878980891719744	0.5734782802547771
90	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	4	65	1635.0	1635	pre-Baroque	Renaissance	C	major	0.655367231638418	0.05649717514124294	0.5605427118644067
91	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	4	65	1635.0	1635	pre-Baroque	Renaissance	C	minor	1.8823529411764706	0.14705882352941177	0.5854379411764705
92	frescobaldi_fiori_musicali	12.34_Toccata_avanti_la_Messa_della_Madonna	4	66	1635.0	1635	pre-Baroque	Renaissance	d	minor	1.0526315789473684	0.4473684210526316	0.6132642105263159
93	frescobaldi_fiori_musicali	12.35_Kyrie,_Tema_I	4	67	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.6190476190476191	0.09523809523809523	0.5755738095238095
94	frescobaldi_fiori_musicali	12.36_Kyrie,_Tema_K	4	68	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.34782608695652173	0.2391304347826087	0.5380982608695652
95	frescobaldi_fiori_musicali	12.37_Christe,_Tema_L	4	69	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.639344262295082	0.06557377049180328	0.5696349180327869
96	frescobaldi_fiori_musicali	12.38_Christe,_Tema_M	4	70	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.425	0.2	0.57748625
97	frescobaldi_fiori_musicali	12.39_Kyrie,_Tema_N	4	71	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.47058823529411764	0.23529411764705882	0.5207294117647059
98	frescobaldi_fiori_musicali	12.40_Kyrie,_Tema_O	4	72	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.5849056603773585	0.018867924528301886	0.5491379245283019
99	frescobaldi_fiori_musicali	12.41_Canzon_dopo_l'Epistola	4	73	1635.0	1635	pre-Baroque	Renaissance	g	minor	1.1031746031746033	0.24603174603174602	0.5036823015873015
100	frescobaldi_fiori_musicali	12.42_Recercar_dopo_il_Credo	4	74	1635.0	1635	pre-Baroque	Renaissance	g	minor	0.8461538461538461	0.08974358974358974	0.5215936538461537
101	frescobaldi_fiori_musicali	12.43_Toccata_avanti_il_Recercar	4	75	1635.0	1635	pre-Baroque	Renaissance	a	minor	1.0	0.3157894736842105	0.5561299999999999
102	frescobaldi_fiori_musicali	12.44_Recercar_con_obligo_di_cantare_la_quinta_parte_non_senza_toccarla	4	76	1635.0	1635	pre-Baroque	Renaissance	a	minor	0.3383084577114428	0.024875621890547265	0.5504721393034826
103	frescobaldi_fiori_musicali	12.46_Bergamasca	4	77	1635.0	1635	pre-Baroque	Renaissance	G	major	0.3179611650485437	0.11165048543689321	0.5374733252427184
104	frescobaldi_fiori_musicali	12.47_Capriccio_sopra_la_Girolmeta	4	78	1635.0	1635	pre-Baroque	Renaissance	G	major	0.22311827956989247	0.12634408602150538	0.5703840591397848
105	kleine_geistliche_konzerte	op08n01swv282_Eile_mich,_Gott,_zu_erretten	5	79	1637.9308224442736	1636	pre-Baroque	Renaissance	d	minor	0.9880952380952381	0.17857142857142858	0.5430454761904762
