	Unnamed: 0	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id	mode
52	52	frescobaldi_fiori_musicali	12.19_Kyrie,_Tema_E_1	1635.0	1635	d	i	6.0	-3.0	6	-11	4	-4	[0]	[[2, 2], [2, 2]]	0.0	0.3695652173913043	[-3, 1]	1.0869565217391304	[]	0.108695652173913	9.0	17	8	4	53	minor
53	53	frescobaldi_fiori_musicali	12.20_Kyrie,_Tema_E_2	1635.0	1635	d	i	6.0	-3.0	6	-3	3	-4	[1]	[[3, 3], [3, 3]]	1.0	0.5714285714285714	[-2, 2]	0.6031746031746031	[]	0.0476190476190476	9.0	9	7	4	54	minor
54	54	frescobaldi_fiori_musicali	12.21_Kyrie,_Tema_E_3	1635.0	1635	d	i	6.0	-3.0	6	-4	4	-3	[-1, 0, 1, 2, -3]	[[2, 2], [-1, -1], [3, 3], [4, 4], [-1, -1], [1, 1], [4, 4], [2, 2]]	0.0	0.2666666666666666	[-3, 1]	0.5333333333333333	[-1, 2]	0.4	9.0	10	7	4	55	minor
55	55	frescobaldi_fiori_musicali	12.22_Christe,_Tema_F_1	1635.0	1635	d	i	5.0	-4.0	4	-4	3	-2	[0, 2]	[[2, 2], [2, 2], [4, 4]]	0.0	0.0697674418604651	[-3, 1]	0.1162790697674418	[2]	0.1162790697674418	9.0	8	5	4	56	minor
56	56	frescobaldi_fiori_musicali	12.23_Christe,_Tema_F_2	1635.0	1635	d	i	5.0	-4.0	5	-4	3	-3	[0, 1]	[[3, 3], [2, 2]]	0.0	0.0576923076923076	[-3, 1]	0.6153846153846154	[]	0.0576923076923076	9.0	9	6	4	57	minor
57	57	frescobaldi_fiori_musicali	12.24_Kyrie,_Tema_G_1	1635.0	1635	d	i	6.0	-4.0	5	-4	3	-3	[0, 1]	[[2, 2], [3, 3], [3, 3], [2, 2]]	0.0	0.0980392156862745	[-3, 1]	0.3529411764705882	[]	0.0784313725490196	10.0	9	6	4	58	minor
58	58	frescobaldi_fiori_musicali	12.25_Kyrie,_Tema_G_2	1635.0	1635	d	i	6.0	-4.0	6	-4	5	-2	[0, 1]	[[2, 2], [3, 3], [2, 2]]	0.0	0.0769230769230769	[-3, 1]	0.3692307692307692	[]	0.2615384615384615	10.0	10	7	4	59	minor
59	59	frescobaldi_fiori_musicali	12.26_Kyrie,_Tema_H	1635.0	1635	d	i	5.0	-3.0	5	-4	4	-3	[-1, 0, 1]	[[2, 2], [3, 3], [1, 1]]	0.0	0.1428571428571428	[-3, 1]	0.5714285714285714	[-1]	0.238095238095238	8.0	9	7	4	60	minor
61	61	frescobaldi_fiori_musicali	12.28_Toccata_avanti_il_Recercar	1635.0	1635	d	i	5.0	-4.0	6	-7	6	-3	[0, 1, 2, -3]	[[2, 2, 3, 3], [2, 2], [-1, -1], [-1, -1], [4, 4]]	0.0	0.1666666666666666	[-3, 1]	1.2166666666666666	[2]	0.2166666666666666	9.0	13	9	4	62	minor
62	62	frescobaldi_fiori_musicali	12.29_Recercar_cromaticho_post_il_Credo	1635.0	1635	d	i	6.0	-4.0	6	-11	5	-4	[1]	[[3, 3]]	1.0	0.3565573770491803	[-2, 2]	0.8360655737704918	[]	0.1475409836065573	10.0	17	9	4	63	minor
63	63	frescobaldi_fiori_musicali	12.30_Alto_recercar	1635.0	1635	g	i	6.0	-4.0	6	-4	5	-4	[0]	[[1, 1]]	0.0	0.1878980891719745	[-3, 1]	0.4394904458598726	[]	0.1687898089171974	10.0	10	9	4	64	minor
65	65	frescobaldi_fiori_musicali	12.34_Toccata_avanti_la_Messa_della_Madonna	1635.0	1635	d	i	2.0	-4.0	6	-4	5	-3	[-2, -1, 0, 1, 2, 3, 5, -3]	[[2, 2], [2, 2, -1, -1], [3, 3], [3, 3], [1, 1], [-1, -1], [4, 4], [3, 3], [-1, -1], [4, 4], [2, 2], [7, 7], [3, 3], [2, 2], [0, 0], [5, 5], [3, 3]]	0.0	0.0	[-3, 1]	1.0526315789473684	[-2, -1, 2, 3, 5]	0.4473684210526316	6.0	10	8	4	66	minor
66	66	frescobaldi_fiori_musicali	12.35_Kyrie,_Tema_I	1635.0	1635	d	i	5.0	-4.0	5	-4	3	-3	[0, -3]	[[2, 2], [-1, -1], [2, 2]]	0.0	0.119047619047619	[-3, 1]	0.5	[]	0.0952380952380952	9.0	9	6	4	67	minor
