	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id
57	frescobaldi_fiori_musicali	12.24_Kyrie,_Tema_G_1	1635.0	1635	d	i	6.0	-4.0	5	-4	3	-3	[0, 1]	[[2, 2], [3, 3], [3, 3], [2, 2]]	0.0	0.09803921568627451	[-3, 1]	0.35294117647058826	[]	0.0784313725490196	10.0	9	6	4	58
58	frescobaldi_fiori_musicali	12.25_Kyrie,_Tema_G_2	1635.0	1635	d	i	6.0	-4.0	6	-4	5	-2	[0, 1]	[[2, 2], [3, 3], [2, 2]]	0.0	0.07692307692307693	[-3, 1]	0.36923076923076925	[]	0.26153846153846155	10.0	10	7	4	59
59	frescobaldi_fiori_musicali	12.26_Kyrie,_Tema_H	1635.0	1635	d	i	5.0	-3.0	5	-4	4	-3	[-1, 0, 1]	[[2, 2], [3, 3], [1, 1]]	0.0	0.14285714285714285	[-3, 1]	0.5714285714285714	[-1]	0.23809523809523808	8.0	9	7	4	60
60	frescobaldi_fiori_musicali	12.27_Canzon_dopo_l'Epistola	1635.0	1635	C	I	8.0	-2.0	8	-3	7	-1	[0, 1, 3, 4, -1]	[[0, 0], [4, 4, 1, 1], [0, 0], [-1, -1], [3, 3], [4, 4]]	0.0	0.14423076923076922	[4, 1]	0.14903846153846154	[3, -1]	0.019230769230769232	10.0	11	8	4	61
61	frescobaldi_fiori_musicali	12.28_Toccata_avanti_il_Recercar	1635.0	1635	d	i	5.0	-4.0	6	-7	6	-3	[0, 1, 2, -3]	[[2, 2, 3, 3], [2, 2], [-1, -1], [-1, -1], [4, 4]]	0.0	0.16666666666666666	[-3, 1]	1.2166666666666666	[2]	0.21666666666666667	9.0	13	9	4	62
62	frescobaldi_fiori_musicali	12.29_Recercar_cromaticho_post_il_Credo	1635.0	1635	d	i	6.0	-4.0	6	-11	5	-4	[1]	[[3, 3]]	1.0	0.35655737704918034	[-2, 2]	0.8360655737704918	[]	0.14754098360655737	10.0	17	9	4	63
63	frescobaldi_fiori_musicali	12.30_Alto_recercar	1635.0	1635	g	i	6.0	-4.0	6	-4	5	-4	[0]	[[1, 1]]	0.0	0.18789808917197454	[-3, 1]	0.4394904458598726	[]	0.16878980891719744	10.0	10	9	4	64
64	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	1635.0	1635	C	I	8.0	-4.0	14	-4	7	-3	[0]	[[0, 0]]	0.0	0.3127962085308057	[4, 1]	0.6350710900473934	[]	0.07109004739336493	12.0	18	10	4	65
65	frescobaldi_fiori_musicali	12.34_Toccata_avanti_la_Messa_della_Madonna	1635.0	1635	d	i	2.0	-4.0	6	-4	5	-3	[-2, -1, 0, 1, 2, 3, 5, -3]	[[2, 2], [2, 2, -1, -1], [3, 3], [3, 3], [1, 1], [-1, -1], [4, 4], [3, 3], [-1, -1], [4, 4], [2, 2], [7, 7], [3, 3], [2, 2], [0, 0], [5, 5], [3, 3]]	0.0	0.0	[-3, 1]	1.0526315789473684	[-2, -1, 2, 3, 5]	0.4473684210526316	6.0	10	8	4	66
66	frescobaldi_fiori_musicali	12.35_Kyrie,_Tema_I	1635.0	1635	d	i	5.0	-4.0	5	-4	3	-3	[0, -3]	[[2, 2], [-1, -1], [2, 2]]	0.0	0.11904761904761904	[-3, 1]	0.5	[]	0.09523809523809523	9.0	9	6	4	67
