	corpus	piece	corpus_year	piece_year	period	globalkey	localkey	localkey_mode	quarterbeats	chord	in_label	out_of_label	interval_classes	ILC	OLC	ILD	corpus_id	piece_id
208859	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	54.0	I	(0, 4, 1)	()	(4, 5, 3)	0	0	0.2	30	10
208860	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	55.5	V6	(5, 2, 1)	(4, 6)	(3, 4, 5)	0	1	0.2	30	10
208861	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	57.0	V43(4)/V	(3, 0, 2, 1)	(4, 6)	(3, 5, 2, 2, 5, 5)	0	1	0.4	30	10
208862	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	60.0	V	(1, 5, 2)	()	(4, 5, 3)	0	0	0.2	30	10
208863	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	61.5	IV	(-1, 3, 0)	(5,)	(4, 5, 3)	0	0	0.2	30	10
208864	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	63.0	I6	(4, 1, 0)	()	(3, 4, 5)	0	0	0.2	30	10
208865	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	64.5	ii7	(2, -1, 3, 0)	(5,)	(3, 5, 2, 4, 5, 3)	0	0	0.4	30	10
208866	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	66.0	I	(0, 4, 1)	()	(4, 5, 3)	0	0	0.2	30	10
208910	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	67.5	iv6	(-4, 0, -1)	(1,)	(4, 3, 5)	0	0	0.2	30	10
208911	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	68.5	ii%7	(2, -1, -4, 0)	()	(3, 6, 2, 3, 5, 4)	0	0	0.6	30	10
208912	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	69.0	V(64)	(1, 0, -3)	()	(5, 4, 3)	0	0	0.2	30	10
208913	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	70.5	V	(1, 5, 2)	(0,)	(4, 5, 3)	3	0	0.2	30	10
208914	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	vi	minor	72.0	i	(0, -3, 1)	()	(3, 5, 4)	0	0	0.2	30	10
208867	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	77.5	bVI+	(-4, 0, 4)	()	(4, 4, 4)	3	0	0.2	30	10
208868	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	78.0	I	(0, 4, 1)	()	(4, 5, 3)	0	0	0.2	30	10
